disturbance_matrix_id,source_pool,sink_pool,proportion
10,BelowGroundFastSoil,BelowGroundFastSoil,1.0
10,MediumSoil,MediumSoil,1.0
10,AboveGroundSlowSoil,AboveGroundSlowSoil,1.0
10,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
10,StemSnag,StemSnag,1.0
10,BranchSnag,BranchSnag,1.0
16,Merch,MediumSoil,0.15000000596046448
16,Merch,Products,0.8500000238418579
16,Foliage,AboveGroundVeryFastSoil,1.0
16,Other,AboveGroundFastSoil,1.0
16,CoarseRoots,AboveGroundFastSoil,0.5
16,CoarseRoots,BelowGroundFastSoil,0.5
16,FineRoots,AboveGroundVeryFastSoil,0.5
16,FineRoots,BelowGroundVeryFastSoil,0.5
16,AboveGroundVeryFastSoil,AboveGroundVeryFastSoil,1.0
16,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,1.0
16,AboveGroundFastSoil,AboveGroundFastSoil,1.0
16,BelowGroundFastSoil,BelowGroundFastSoil,1.0
16,MediumSoil,MediumSoil,1.0
16,AboveGroundSlowSoil,AboveGroundSlowSoil,1.0
16,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
16,StemSnag,MediumSoil,0.5
16,StemSnag,Products,0.5
16,BranchSnag,AboveGroundFastSoil,1.0
18,Merch,MediumSoil,0.29100000858306885
18,Merch,AboveGroundSlowSoil,0.05000000074505806
18,Merch,CO2,0.2669999897480011
18,Merch,CH4,0.027000000700354576
18,Merch,CO,0.003000000026077032
18,Merch,Products,0.3619999885559082
18,Foliage,AboveGroundVeryFastSoil,0.30799999833106995
18,Foliage,CO2,0.5929999947547913
18,Foliage,CH4,0.09000000357627869
18,Foliage,CO,0.008999999612569809
18,Other,AboveGroundFastSoil,0.5049999952316284
18,Other,CO2,0.4449999928474426
18,Other,CH4,0.04500000178813934
18,Other,CO,0.004999999888241291
18,CoarseRoots,AboveGroundFastSoil,0.5
18,CoarseRoots,BelowGroundFastSoil,0.5
18,FineRoots,AboveGroundVeryFastSoil,0.4740000069141388
18,FineRoots,BelowGroundVeryFastSoil,0.4740000069141388
18,FineRoots,CO2,0.04699999839067459
18,FineRoots,CH4,0.004999999888241291
18,AboveGroundVeryFastSoil,AboveGroundVeryFastSoil,0.7110000252723694
18,AboveGroundVeryFastSoil,MediumSoil,0.11800000071525574
18,AboveGroundVeryFastSoil,AboveGroundSlowSoil,0.11800000071525574
18,AboveGroundVeryFastSoil,CO2,0.04699999839067459
18,AboveGroundVeryFastSoil,CH4,0.004999999888241291
18,AboveGroundVeryFastSoil,CO,0.0010000000474974513
18,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,0.7110000252723694
18,BelowGroundVeryFastSoil,MediumSoil,0.11800000071525574
18,BelowGroundVeryFastSoil,BelowGroundSlowSoil,0.11800000071525574
18,BelowGroundVeryFastSoil,CO2,0.04699999839067459
18,BelowGroundVeryFastSoil,CH4,0.004999999888241291
18,BelowGroundVeryFastSoil,CO,0.0010000000474974513
18,AboveGroundFastSoil,AboveGroundFastSoil,0.7110000252723694
18,AboveGroundFastSoil,MediumSoil,0.11800000071525574
18,AboveGroundFastSoil,AboveGroundSlowSoil,0.11800000071525574
18,AboveGroundFastSoil,CO2,0.04699999839067459
18,AboveGroundFastSoil,CH4,0.004999999888241291
18,AboveGroundFastSoil,CO,0.0010000000474974513
18,BelowGroundFastSoil,BelowGroundFastSoil,0.7110000252723694
18,BelowGroundFastSoil,MediumSoil,0.11800000071525574
18,BelowGroundFastSoil,BelowGroundSlowSoil,0.11800000071525574
18,BelowGroundFastSoil,CO2,0.04699999839067459
18,BelowGroundFastSoil,CH4,0.004999999888241291
18,BelowGroundFastSoil,CO,0.0010000000474974513
18,MediumSoil,MediumSoil,0.8669999837875366
18,MediumSoil,AboveGroundSlowSoil,0.1080000028014183
18,MediumSoil,CO2,0.023000000044703484
18,MediumSoil,CH4,0.0020000000949949026
18,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9879999756813049
18,AboveGroundSlowSoil,CO2,0.009999999776482582
18,AboveGroundSlowSoil,CH4,0.0020000000949949026
18,BelowGroundSlowSoil,BelowGroundSlowSoil,0.9879999756813049
18,BelowGroundSlowSoil,CO2,0.009999999776482582
18,BelowGroundSlowSoil,CH4,0.0020000000949949026
18,StemSnag,MediumSoil,0.8669999837875366
18,StemSnag,AboveGroundSlowSoil,0.1080000028014183
18,StemSnag,CO2,0.023000000044703484
18,StemSnag,CH4,0.0020000000949949026
18,BranchSnag,AboveGroundFastSoil,0.7110000252723694
18,BranchSnag,MediumSoil,0.11800000071525574
18,BranchSnag,AboveGroundSlowSoil,0.11800000071525574
18,BranchSnag,CO2,0.04699999839067459
18,BranchSnag,CH4,0.004999999888241291
18,BranchSnag,CO,0.0010000000474974513
19,Merch,MediumSoil,0.2800000011920929
19,Merch,AboveGroundSlowSoil,0.04800000041723251
19,Merch,CO2,0.2919999957084656
19,Merch,CH4,0.028999999165534973
19,Merch,CO,0.003000000026077032
19,Merch,Products,0.3479999899864197
19,Foliage,AboveGroundVeryFastSoil,0.24300000071525574
19,Foliage,CO2,0.6489999890327454
19,Foliage,CH4,0.09799999743700027
19,Foliage,CO,0.009999999776482582
19,Other,AboveGroundFastSoil,0.45899999141693115
19,Other,CO2,0.4869999885559082
19,Other,CH4,0.04899999871850014
19,Other,CO,0.004999999888241291
19,CoarseRoots,AboveGroundFastSoil,0.5
19,CoarseRoots,BelowGroundFastSoil,0.5
19,FineRoots,AboveGroundVeryFastSoil,0.43149998784065247
19,FineRoots,BelowGroundVeryFastSoil,0.43149998784065247
19,FineRoots,CO2,0.125
19,FineRoots,CH4,0.012000000104308128
19,AboveGroundVeryFastSoil,AboveGroundVeryFastSoil,0.6460000276565552
19,AboveGroundVeryFastSoil,MediumSoil,0.1080000028014183
19,AboveGroundVeryFastSoil,AboveGroundSlowSoil,0.1080000028014183
19,AboveGroundVeryFastSoil,CO2,0.125
19,AboveGroundVeryFastSoil,CH4,0.012000000104308128
19,AboveGroundVeryFastSoil,CO,0.0010000000474974513
19,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,0.6460000276565552
19,BelowGroundVeryFastSoil,MediumSoil,0.1080000028014183
19,BelowGroundVeryFastSoil,BelowGroundSlowSoil,0.1080000028014183
19,BelowGroundVeryFastSoil,CO2,0.125
19,BelowGroundVeryFastSoil,CH4,0.012000000104308128
19,BelowGroundVeryFastSoil,CO,0.0010000000474974513
19,AboveGroundFastSoil,AboveGroundFastSoil,0.6460000276565552
19,AboveGroundFastSoil,MediumSoil,0.1080000028014183
19,AboveGroundFastSoil,AboveGroundSlowSoil,0.1080000028014183
19,AboveGroundFastSoil,CO2,0.125
19,AboveGroundFastSoil,CH4,0.012000000104308128
19,AboveGroundFastSoil,CO,0.0010000000474974513
19,BelowGroundFastSoil,BelowGroundFastSoil,0.6460000276565552
19,BelowGroundFastSoil,MediumSoil,0.1080000028014183
19,BelowGroundFastSoil,BelowGroundSlowSoil,0.1080000028014183
19,BelowGroundFastSoil,CO2,0.125
19,BelowGroundFastSoil,CH4,0.012000000104308128
19,BelowGroundFastSoil,CO,0.0010000000474974513
19,MediumSoil,MediumSoil,0.828000009059906
19,MediumSoil,AboveGroundSlowSoil,0.10300000011920929
19,MediumSoil,CO2,0.06199999898672104
19,MediumSoil,CH4,0.006000000052154064
19,MediumSoil,CO,0.0010000000474974513
19,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9649999737739563
19,AboveGroundSlowSoil,CO2,0.02800000086426735
19,AboveGroundSlowSoil,CH4,0.006000000052154064
19,AboveGroundSlowSoil,CO,0.0010000000474974513
19,BelowGroundSlowSoil,BelowGroundSlowSoil,0.9649999737739563
19,BelowGroundSlowSoil,CO2,0.02800000086426735
19,BelowGroundSlowSoil,CH4,0.006000000052154064
19,BelowGroundSlowSoil,CO,0.0010000000474974513
19,StemSnag,MediumSoil,0.828000009059906
19,StemSnag,AboveGroundSlowSoil,0.10300000011920929
19,StemSnag,CO2,0.06199999898672104
19,StemSnag,CH4,0.006000000052154064
19,StemSnag,CO,0.0010000000474974513
19,BranchSnag,AboveGroundFastSoil,0.6460000276565552
19,BranchSnag,MediumSoil,0.1080000028014183
19,BranchSnag,AboveGroundSlowSoil,0.1080000028014183
19,BranchSnag,CO2,0.125
19,BranchSnag,CH4,0.012000000104308128
19,BranchSnag,CO,0.0010000000474974513
20,Merch,MediumSoil,0.3720000088214874
20,Merch,AboveGroundSlowSoil,0.06400000303983688
20,Merch,CO2,0.09300000220537186
20,Merch,CH4,0.008999999612569809
20,Merch,CO,0.0010000000474974513
20,Merch,Products,0.460999995470047
20,Foliage,AboveGroundVeryFastSoil,0.7599999904632568
20,Foliage,CO2,0.20600000023841858
20,Foliage,CH4,0.03099999949336052
20,Foliage,CO,0.003000000026077032
20,Other,AboveGroundFastSoil,0.8289999961853027
20,Other,CO2,0.15399999916553497
20,Other,CH4,0.014999999664723873
20,Other,CO,0.0020000000949949026
20,CoarseRoots,AboveGroundFastSoil,0.5
20,CoarseRoots,BelowGroundFastSoil,0.5
20,FineRoots,AboveGroundVeryFastSoil,0.4350000023841858
20,FineRoots,BelowGroundVeryFastSoil,0.4350000023841858
